name,lat,lon,population,place
Тихоокеанское,53.9349446,70.8029151,390,village
Алабота,53.7980148,70.9733533,37,village
Макашевка,54.0519313,68.9453887,398,village
Октябрьское,54.1004005,68.9015722,26,village
Краматоровка,54.0508228,68.9904069,63,village
Димитровка,54.2334809,68.8958644,70,village
Талап,53.6837144,68.7998199,113,village
Мадениет,53.62549,68.7238598,116,village
Привольное,53.2180602,66.9173812,950,village
Жамбыл,53.8386141,68.5289597,43,village
Ивановка,54.6591319,68.9296519,,hamlet
Искра,54.8169142,68.4480049,247,village
Каратал,54.2488791,67.975502,76,village
Сосновка,54.9350816,69.7138953,,village
Нурымбет,54.4560724,66.1028358,93,village
Жанажол,54.3539289,69.5487152,,hamlet
