name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Полтавка,54.831326,70.311897,572,132.0,68.71,46.0,29.4,37.3,104.4,78.3
Жанажол,53.982719,67.608635,384,128.0,0.44,8.0,39.0,53.8,108.5,77.8
Жанаталап,53.9700811,67.5499431,98,139.0,1.21,16.0,43.4,57.1,109.0,77.9
Узынжар,53.537678,67.080902,492,156.0,1.21,23.0,39.5,51.6,112.8,77.4
Двинск,54.145901,68.403328,259,149.0,15.23,40.0,24.2,34.5,97.8,74.2
Лавровка,53.454784,68.35746,415,263.0,0.31,9.0,21.8,30.3,90.2,66.3
Дзержинское,53.612789,66.435074,219,178.0,44.57,45.0,52.4,68.2,115.8,81.8
Ленинское,53.3755636,66.3604841,191,200.0,36.35,45.0,46.5,62.4,118.0,82.0
Москворецкое,53.6791,66.362312,517,174.0,51.11,41.0,53.4,67.6,113.9,81.1
Андреевка,52.999763,67.381363,844,289.0,20.0,35.0,47.8,49.8,121.5,76.2
Макарьевка,54.501556,66.350296,111,160.0,94.86,41.0,54.2,68.0,111.7,81.3
Пресноредуть,54.5552732,66.1543393,420,168.0,110.53,44.0,53.4,67.6,109.7,80.2
Дубровное,54.814541,68.091301,690,148.0,47.47,49.0,58.7,72.6,111.0,82.7
Афонькино,54.905602,68.262001,571,147.0,45.86,48.0,57.7,73.4,112.1,83.2
Покровка,54.931152,68.631683,952,143.0,27.07,45.0,56.9,72.5,112.4,83.4
Қызылжар орман шаруашылығы,54.8302185,69.1262021,,103.0,4.72,10.0,49.0,63.2,111.1,82.3
Тепловское,54.8629738,69.2551484,,139.0,8.81,33.0,53.8,66.4,112.2,82.3
Кладбинка,54.736385,67.6147491,506,151.0,61.73,41.0,55.4,70.4,111.8,82.0
Пчелино,54.778366,67.937798,54,149.0,54.25,50.0,56.7,74.1,111.0,82.4
Сенжарка,54.7730787,67.8304133,74,148.0,58.32,41.0,57.0,73.6,111.1,82.3
Екатериновка,54.5942855,66.7049222,132,158.0,81.98,39.0,56.0,70.0,110.4,80.8
Светлое,54.586346,66.634529,57,162.0,84.82,43.0,56.9,70.1,110.4,80.7
Чапаевка,54.5086818,66.5132517,85,162.0,86.13,43.0,54.1,67.6,111.9,81.1
Будённое,54.623726,66.513252,488,160.0,93.51,41.0,55.0,69.3,110.3,80.7
Кабань,54.6611966,66.4859984,77,162.0,97.5,43.0,57.1,69.8,108.7,79.9
Калиновка,54.5925449,66.4565179,87,166.0,94.34,47.0,55.0,69.3,110.3,80.7
Казанка,54.718452,66.954659,596,146.0,80.4,32.0,55.3,70.4,110.0,80.8
Узынколь,54.59211,67.152664,167,149.0,61.44,35.0,54.1,69.0,110.8,81.1
Айымжан,54.543686,67.090912,223,153.0,60.6,39.0,52.4,66.4,110.4,80.5
Святодуховка,54.484962,66.783897,354,153.0,70.25,34.0,55.5,68.1,111.2,80.8
Благовещенка,54.369076,66.97139,2806,157.0,52.84,38.0,51.6,64.8,110.8,80.2
Украинское,54.116165,66.659279,426,166.0,56.6,48.0,49.1,61.5,111.2,78.9
